0 3 2
0.25 3 2
0.5 3 2
0.75 3 2
1 3 2
1.25 3 2
1.5 3 2
1.75 3 2
2 3 2
2.25 3 2
2.5 3 2
2.75 3 2
3 3 2
0 2.75 1.75
0.25 2.75 1.73684
0.5 2.75 1.7263
0.75 2.75 1.72477
1 2.75 1.74743
1.25 2.75 1.83059
1.5 2.75 1.88715
1.75 2.75 1.91955
2 2.75 1.93727
2.25 2.75 1.94669
2.5 2.75 1.95143
2.75 2.75 1.95338
3 2.75 1.95338
0 2.5 1.5
0.25 2.5 1.48107
0.5 2.5 1.46611
0.75 2.5 1.4637
1 2.5 1.49234
1.25 2.5 1.58619
1.5 2.5 1.67584
1.75 2.5 1.74138
2 2.5 1.78382
2.25 2.5 1.80923
2.5 2.5 1.82311
2.75 2.5 1.82914
3 2.5 1.82914
0 2.25 1.25
0.25 2.25 1.23284
0.5 2.25 1.21921
0.75 2.25 1.21536
1 2.25 1.23871
1.25 2.25 1.33669
1.5 2.25 1.441
1.75 2.25 1.5242
2 2.25 1.58194
2.25 2.25 1.61846
2.5 2.25 1.63932
2.75 2.25 1.64867
3 2.25 1.64867
0 2 1
0.25 2 1
0.5 2 1
0.75 2 1
1 2 1
1.25 2 1.12639
1.5 2 1.23169
1.75 2 1.31152
2 2 1.36715
2.25 2 1.40315
2.5 2 1.42427
2.75 2 1.43397
3 2 1.43397
0 1.75 0
0.25 1.75 0
0.5 1.75 0
0.75 1.75 0
1 1.75 1
1.25 1.75 1.03768
1.5 1.75 1.08694
1.75 1.75 1.12942
2 1.75 1.16128
2.25 1.75 1.18317
2.5 1.75 1.1967
2.75 1.75 1.20315
3 1.75 1.20315
0 1.5 0
0.25 1.5 0
0.5 1.5 0
0.75 1.5 0
1 1.5 1
1.25 1.5 0.989415
1.5 1.5 0.976829
1.75 1.5 0.96911
2 1.5 0.966252
2.25 1.5 0.966331
2.5 1.5 0.967493
2.75 1.5 0.968431
3 1.5 0.968431
0 1.25 0
0.25 1.25 0
0.5 1.25 0
0.75 1.25 0
1 1.25 1
1.25 1.25 0.935748
1.5 1.25 0.862555
1.75 1.25 0.807956
2 1.25 0.772978
2.25 1.25 0.752641
2.5 1.25 0.741997
2.75 1.25 0.737568
3 1.25 0.737568
0 1 1
0.25 1 1
0.5 1 1
0.75 1 1
1 1 1
1.25 1 0.823868
1.5 1 0.704035
1.75 1 0.623919
2 1 0.572758
2.25 1 0.541918
2.5 1 0.524936
2.75 1 0.517521
3 1 0.517521
0 0.75 0.75
0.25 0.75 0.723933
0.5 0.75 0.69563
0.75 0.75 0.661528
1 0.75 0.617147
1.25 0.75 0.548018
1.5 0.75 0.473709
1.75 0.75 0.412592
2 0.75 0.369145
2.25 0.75 0.341282
2.5 0.75 0.325318
2.75 0.75 0.31817
3 0.75 0.31817
0 0.5 0.5
0.25 0.5 0.46765
0.5 0.5 0.431973
0.75 0.5 0.390582
1 0.5 0.342968
1.25 0.5 0.294846
1.5 0.5 0.249544
1.75 0.5 0.212672
2 0.5 0.186016
2.25 0.5 0.168592
2.5 0.5 0.158454
2.75 0.5 0.153864
3 0.5 0.153864
0 0.25 0.25
0.25 0.25 0.226758
0.5 0.25 0.201043
0.75 0.25 0.171471
1 0.25 0.137767
1.25 0.25 0.10111
1.5 0.25 0.0776528
1.75 0.25 0.0626839
2 0.25 0.0530183
2.25 0.25 0.0469884
2.5 0.25 0.0435446
2.75 0.25 0.0419943
3 0.25 0.0419943
0 0 0
0.25 0 0
0.5 0 0
0.75 0 0
1 0 0
1.25 0 0
1.5 0 0
1.75 0 0
2 0 0
2.25 0 0
2.5 0 0
2.75 0 0
3 0 0
